model_tag,layer,n_target,n_control,target_control_centroid_l2,target_control_centroid_cosdist,target_control_projection_gap,target_control_projection_gap_z,target_control_axis_auc_like,target_to_question_centroid_l2,control_to_question_centroid_l2,target_minus_control_to_question_l2,target_to_question_cosdist,control_to_question_cosdist,loo_question_balanced_acc,loo_question_auc_like,loo_question_projection_gap,loo_question_folds
instruct,22,100,100,979.4608976856476,0.00013903189123087856,979.4608976856471,0.2338923952950188,0.6711,2694.198978228175,2175.919851308436,518.2791269197387,0.0002323725376041086,0.00019779825555243935,0.505,0.7020000000000001,408.67388007215834,10
instruct,23,100,100,1987.078968666782,0.00018677126256705368,1987.0789686667777,0.26309780321701765,0.6587,4188.8092330486,2574.448263707121,1614.3609693414787,0.00036472661607311885,0.00026545566242086593,0.53,0.7260000000000001,1779.119173662451,10
instruct,24,100,100,1926.7106013159732,0.00025199967564737413,1926.71060131595,0.2595964072505339,0.6222,1771.199183341073,1783.2317235896078,-12.032540248534815,0.0004240259449825867,0.0003137458172201013,0.51,0.799,1720.0180461638417,10
instruct,25,100,100,1925.1959273672176,0.0002921197032291767,1925.1959273672182,0.3020669106066775,0.6427,1900.213250528956,2235.008296910273,-334.7950463813172,0.0004454414090975245,0.00036177263006875737,0.495,0.8109999999999999,1643.233441688284,10
instruct,26,100,100,1934.244704564341,0.0003808943995793346,1934.2447045643385,0.46626165808730924,0.7382,2239.3820751368453,2066.9102428327596,172.47183230408564,0.0005937465113884377,0.00047001660482870466,0.5,0.9199999999999999,1612.4239101016092,10
instruct,27,100,100,2637.115203090721,0.0004980739022403258,2637.1152030907033,0.3460999159119123,0.6898,3448.0609956435374,2352.5308559019827,1095.5301397415546,0.0006805678062875575,0.0005777130325254065,0.54,0.909,2342.762151702772,10
instruct,28,100,100,3531.0240916084704,0.0006981319966005151,3531.024091608473,0.4468277736217307,0.7572,4402.000712019897,2660.3248604097002,1741.6758516101968,0.0009022025374619824,0.0007858982455976049,0.5349999999999999,0.9,3256.908520353591,10
instruct,29,100,100,4119.225651903707,0.0009256326002858861,4119.225651903696,0.539526457547535,0.7691,5025.8586745433795,3131.5150698375455,1894.343604705834,0.001041984701778187,0.0010288823078474785,0.5549999999999999,0.925,3801.346175205498,10
instruct,30,100,100,4437.325976135761,0.0011564752881831897,4437.325976135748,0.5930404647941024,0.7862,5135.201347069205,3374.0105307884983,1761.1908162807072,0.0011998198155720452,0.0012776362620817716,0.57,0.942,4089.806215411748,10
instruct,31,100,100,4939.382608936158,0.0013799210713723031,4939.382608936146,0.6316575495582761,0.7617,6044.166963438789,3796.5204733645714,2247.6464900742176,0.0012984702058280728,0.0015238740122615058,0.635,0.9339999999999999,4572.193208033103,10
instruct,32,100,100,5027.219111268584,0.0015599950894705783,5027.219111268576,0.7041409230019332,0.7442,6415.880913526673,4248.130458622075,2167.750454904598,0.0014585330852752154,0.0017494958718372589,0.655,0.933,4586.143370411445,10
instruct,33,100,100,4870.690340333837,0.0016548069216761885,4870.6903403338365,0.7534175409219214,0.7318,7295.846298896366,5228.659578422323,2067.186720474043,0.0015697489168943202,0.0018770849010733004,0.625,0.93,4318.554625919924,10
instruct,34,100,100,5303.566898239215,0.0017793604825261378,5303.5668982392235,0.7874194855588214,0.7354,8280.701681068798,5951.151437372265,2329.5502436965335,0.0017277552064407509,0.0020540556687005385,0.615,0.942,4665.3617017115375,10
instruct,35,100,100,5674.077946168844,0.0016792543312958985,5674.077946168851,0.8834523716656316,0.7414,8522.946276898203,6241.214739040549,2281.731537857654,0.0016149105031124655,0.0020197471895566643,0.65,0.933,4985.372813873657,10
instruct,36,100,100,6462.156886526136,0.002091071175193915,6462.156886526151,0.9641836499244656,0.7457,8375.593762519624,6187.343904482797,2188.2498580368265,0.0017906737808922601,0.0025002959118722856,0.7,0.915,5709.551975195929,10
instruct,37,100,100,7505.073766309682,0.0021766476683383607,7505.073766309673,0.8670770540975734,0.7279,9657.19081337148,6579.682092376424,3077.508720995056,0.0018743009365603802,0.0026034450872285397,0.68,0.8879999999999999,6670.72823981468,10
instruct,38,100,100,8609.42666677012,0.002171702737688852,8609.426666770109,0.8720393139717952,0.7278,10176.522069477374,6494.892680277595,3681.6293891997793,0.001822880466330945,0.002577225197107569,0.6849999999999999,0.8949999999999999,7798.511946945691,10
instruct,39,100,100,9680.509535556757,0.002289705299035716,9680.509535556776,0.9264698323086578,0.739,11473.118503233603,7134.341394211316,4338.777109022288,0.0018087799208704736,0.0027397525864871763,0.705,0.9029999999999999,8797.66357062102,10
instruct,40,100,100,10937.193220727842,0.0023223415562726446,10937.19322072783,0.9671083132695714,0.743,13311.878135494326,7948.401579772397,5363.476555721929,0.00181313793227722,0.002752417078521696,0.7050000000000001,0.906,10000.970287686136,10
instruct,41,100,100,10974.402700712975,0.002001226642967091,10974.402700712948,1.0954643429268784,0.7666,13994.95650186935,8814.569806391055,5180.386695478295,0.001629601085395782,0.0023958048510306362,0.7150000000000001,0.9199999999999999,9925.066970251402,10
instruct,42,100,100,13252.842566899044,0.0020282267500209006,13252.842566899039,0.9610206903924505,0.7451,17179.34417873025,9540.120010300798,7639.224168429453,0.0016837735673099763,0.002412797460828009,0.675,0.975,12198.94544507429,10
instruct,43,100,100,13758.787166772903,0.002217736297754236,13758.787166772934,0.97696240429656,0.7554,18595.950915873356,10758.942950315173,7837.007965558183,0.001794594956437079,0.002602363993520207,0.675,0.9719999999999999,12599.188067954474,10
instruct,44,100,100,14830.832681926993,0.0021351460127769784,14830.832681926957,0.8264818904308152,0.7429,21553.433015029965,12298.324868477146,9255.108146552819,0.0018580329982953447,0.002542044297187629,0.635,0.9719999999999999,13574.848454782204,10
instruct,45,100,100,15353.54359790346,0.002297901839074523,15353.543597903452,0.871884969406341,0.7631,21611.61459505337,13243.48711351308,8368.127481540288,0.0018770166047233916,0.002722035527339628,0.63,0.9810000000000001,13918.895272888654,10
instruct,46,100,100,13532.274465504928,0.002136575305651145,13532.274465504976,0.9348784529746883,0.743,17230.07125458763,13178.346951548083,4051.7243030395475,0.0022431789298984484,0.0028599080408758804,0.635,0.9730000000000001,11495.215899760276,10
instruct,47,100,100,13922.085474413563,0.0018399810611556822,13922.085474413558,1.014657249602305,0.7383,21650.473080767333,16465.3708117774,5185.102268989933,0.002023960941893943,0.002507857288684856,0.575,0.966,11207.382854850375,10
instruct,48,100,100,32.774642535860785,0.0434014378590355,32.77464253585977,1.7434841321477828,0.9376,37.39289839091032,37.50920830387853,-0.11630991296821236,0.04862440033538529,0.05137169323118984,0.735,0.999,17.964927889577933,10
