condition,layer,n_points,linear_cka_base_instruct,same_prompt_delta_l2_mean,same_prompt_delta_l2_std,same_prompt_cosdist_mean,base_norm_mean,instruct_norm_mean,instruct_over_base_norm_mean
target_word_shuffle,24,100,0.9614284992614219,3181.0573190827477,1113.9605767012495,0.0008341314316558812,57995.44296324855,59229.16082091214,1.0246841804103937
target_word_shuffle,25,100,0.9465784175424788,3498.0874451413097,1051.3919481462196,0.0009254737955630854,61811.548448014146,62066.70100771386,1.007092569399579
target_word_shuffle,26,100,0.9404672431455441,3805.0738085246144,1414.1845808026703,0.0010544916318176933,62143.70432033659,63555.33760446715,1.0227075497829237
target_word_shuffle,27,100,0.9452322459749856,4149.118379530657,1310.6909439144215,0.0013146137793007373,64155.61328363581,64579.433394231,1.0073240284296858
target_word_shuffle,28,100,0.9223571010608236,5013.13306051951,1257.5524245420816,0.001713164464611867,65534.14758688927,63584.49667200844,0.9702984926018309
target_word_shuffle,29,100,0.908472050116776,6337.014320155414,1913.9241559850188,0.002080161760211554,69400.67853231514,65727.55037091422,0.947779111245305
target_word_shuffle,30,100,0.914552307718752,6706.740904741222,2239.78634089028,0.0025538450321096772,68712.8740170042,64842.634310452704,0.9453310810481238
target_word_shuffle,31,100,0.8808357012570521,9546.444159579918,3854.597295796501,0.0029977111228923713,70647.70396956346,63005.47925241158,0.8948999132457164
target_word_shuffle,32,100,0.8826526472398233,10133.527952836645,4088.7475259909475,0.0035086392582561366,71883.32547473817,63824.94416927537,0.8919093586240459
target_word_shuffle,33,100,0.8726023420409851,10474.573040600972,4351.436288440948,0.003970773856219982,72992.2800354401,64964.2404112161,0.8953582776839422
target_word_shuffle,34,100,0.876714329334113,11096.04564582159,4369.739593371075,0.0045504205473998,76037.0417249028,67826.20256312957,0.8971435832810171
target_word_shuffle,35,100,0.8321422730625521,12912.980887351763,5320.222451657933,0.004460640748272929,84934.12095087094,74982.26329999087,0.8877973879103312
target_word_shuffle,36,100,0.8549858206949312,14340.591964531159,5546.129921304431,0.005328430274673873,86492.89852157616,75402.81054533896,0.878243773803658
target_word_shuffle,37,100,0.8658816545597925,19009.892277442697,7012.459586100524,0.0056828047282422404,95030.55906486254,78845.79210037335,0.8380568334298678
target_word_shuffle,38,100,0.8661626162296555,21248.38841418621,7607.537276992275,0.005801568561984822,101429.71203127023,82996.98481360513,0.8265565452548429
target_word_shuffle,39,100,0.8687699446103395,22984.884036838674,8137.991591786106,0.0058831715357802435,108308.00578652331,88346.28627704861,0.8240611104727259
target_word_shuffle,40,100,0.8775856452752421,25359.136184037325,8714.442774206318,0.006059390940633673,118400.14048213413,96224.89010921646,0.8200053093345478
target_word_shuffle,41,100,0.8588103713694186,26762.322517198245,8584.646327931976,0.00542193768448219,133912.28924232337,110581.75257756554,0.830470473381373
target_word_shuffle,42,100,0.882248485073967,32484.212113598533,9330.85571006476,0.005835423291963585,146101.62921035962,116939.83997273962,0.8045337340768631
target_word_shuffle,43,100,0.9002340436550303,33557.40244814979,8560.312657026665,0.006550296875101013,151736.2797646142,122017.46262754146,0.8070637238081771
target_word_shuffle,44,100,0.9215743806443475,37705.325398918736,8207.285570137736,0.007027661504924548,163959.24628532023,130280.49553106593,0.7959794901235311
target_word_shuffle,45,100,0.9282251140592427,39077.18573932862,8029.863824182409,0.007221329969890558,177649.2870772943,143428.27283064646,0.8081625720610088
target_word_shuffle,46,100,0.92655378182137,34160.027815785324,7262.281217106132,0.007011649129364808,187853.1135620607,160588.69107626713,0.8544329038655141
target_word_shuffle,47,100,0.870659112008846,34558.10934429273,9681.30163579971,0.00640804295503245,209063.68348779407,183741.81987121573,0.8805497522625639
target_word_shuffle,48,100,0.9753729678087891,73.25504704612388,13.429426852405042,0.12672711344407447,138.48839711846767,146.37178932279346,1.0566105087726962
target_sentence_shuffle,0,100,0.9999061243924284,8.606240060749366,3.026016589957037,0.01169218714172597,59.824236241707574,59.59164820557363,0.9961123903049993
target_sentence_shuffle,1,100,0.9957842829105831,113.86461073043864,31.891328691905283,0.009405210449786532,893.8967491037615,853.7551986119157,0.9320973559815626
target_sentence_shuffle,2,100,0.9941387921800522,123.63357252089234,18.25411883136447,0.008835371747071776,881.6065811994263,863.3443021371808,0.9608488445827454
target_sentence_shuffle,3,100,0.9911547280169775,148.87904729060926,34.274666901792294,0.01181270670651521,910.256867396878,809.4602292802526,0.8853183613594718
target_sentence_shuffle,4,100,0.9942595089409193,156.9883439048312,26.67047292921773,0.014160161574008926,784.4542111648235,682.7579968999811,0.8719623774349324
target_sentence_shuffle,5,100,0.9973604688563196,129.42057158258834,22.435553432861866,0.005336580753148401,1065.4111626922922,991.3810981787163,0.9302711695179272
target_sentence_shuffle,6,100,0.9890891281473448,175.67729448026944,70.12903503875798,0.006601071579844646,1198.7586614068296,1111.5347172180416,0.9359070221263428
target_sentence_shuffle,7,100,0.9788803149608098,228.34818050830287,95.17703537909497,0.007812883039579712,1326.8599340846229,1160.6323909273297,0.8780252822668804
target_sentence_shuffle,8,100,0.973823327419237,319.14229605063076,186.03916073152192,0.0034195237415373014,2175.787145089241,1909.7422851526655,0.8877855663239265
target_sentence_shuffle,9,100,0.9909651390212036,550.8247000130264,216.8892408905559,0.0018839966393098728,3288.986395709028,2771.2010148291133,0.8476129324960688
target_sentence_shuffle,10,100,0.9789026107479871,582.980988017747,355.0889142548094,0.0022322141152183238,3556.1346871362557,3020.883969100421,0.8601145398497829
target_sentence_shuffle,11,100,0.978454349759923,934.1393837650593,395.3530146062163,0.0008500605137404372,6827.439279483116,5937.329709206099,0.8724998068005356
target_sentence_shuffle,12,100,0.953634768484277,1158.1039411241188,567.4050583046674,0.001089546226831527,7339.430492715845,6232.115936817702,0.8552049153249726
target_sentence_shuffle,13,100,0.9552470683169881,1355.8366716878743,396.7435015169698,0.001194329199550619,8318.364946297306,7028.074885710433,0.8436954385831202
target_sentence_shuffle,14,100,0.9641837815477065,2018.5400863854716,596.0382135089856,0.0004912312766772519,14607.140770453829,12640.288850350847,0.8672638763907092
target_sentence_shuffle,15,100,0.9273313727044166,2239.335505925327,856.5735054914106,0.00037175938487090553,19219.22227245135,17045.167076874597,0.8889461713792426
target_sentence_shuffle,16,100,0.744555110619479,2349.126888685436,990.972897562271,0.0003386497611382677,23537.989402592983,21359.20388524252,0.9095181680976141
target_sentence_shuffle,17,100,0.7665510525005718,2737.2435251027578,1562.868594231611,0.0003771088479799756,26454.261897951397,24032.18080275246,0.9146730899595177
target_sentence_shuffle,18,100,0.5648248909198009,3083.076358958277,1783.9086834978907,0.00038900149465376677,32029.266298458384,29570.847996133558,0.929213155990777
target_sentence_shuffle,19,100,0.6628187306164531,2595.594915336064,1593.01574942578,0.0003821926352518201,36297.72882842014,35486.75770023001,0.983268186724618
target_sentence_shuffle,20,100,0.724675108207709,2795.8856523209897,1695.3548000357457,0.00040138839333010435,39785.652157743,39078.62858177388,0.9875693976184955
target_sentence_shuffle,21,100,0.7171047817243408,3018.820224613679,1626.6098765804084,0.00041959411508336154,42842.590344650744,42991.58057464802,1.0080872904462148
target_sentence_shuffle,22,100,0.8498035380158115,3253.1479441434053,1611.2199469846994,0.00045724495728447835,48403.299065272564,49646.74541935984,1.0269131425276545
target_sentence_shuffle,23,100,0.8869279174493564,3260.42715298765,1911.6792488167127,0.0005648339559463333,54179.62007460834,54834.759554734024,1.0114898645501111
target_sentence_shuffle,24,100,0.9345937003841625,4335.461857155652,1906.2866016701682,0.0007448728517689129,62670.917874630686,59883.15459478866,0.9583431938640848
target_sentence_shuffle,25,100,0.9265736798209713,5002.740728886641,2435.953782050768,0.0008178295659706525,66523.39081300928,62813.737740749755,0.9470899552754112
target_sentence_shuffle,26,100,0.9293079897884418,4246.648276664389,1771.8108542882565,0.0009283844905276317,67006.99689179634,64901.03114902634,0.9689049601745873
target_sentence_shuffle,27,100,0.9420029975070618,5006.462937046901,2004.377110110411,0.0011786340359291403,69061.05316323126,66216.18311030437,0.9599672319428642
target_sentence_shuffle,28,100,0.9281484070454253,6516.92855604489,2551.992138361655,0.0015949042343954012,70469.11888459157,65641.57326918974,0.9323431323688234
target_sentence_shuffle,29,100,0.9240293377238138,8184.551127132274,2956.3039702838246,0.0019470118995452235,74288.01308370204,67665.7048153624,0.9114979090390888
target_sentence_shuffle,30,100,0.924186914112339,8253.921950514332,3115.994965897095,0.002343178969710673,73467.53998633716,67080.12926993096,0.914828360985519
target_sentence_shuffle,31,100,0.9103336014042427,10524.452746684176,3984.92365533727,0.00269670989617953,74878.53069371618,65892.7753901588,0.8828248698386874
target_sentence_shuffle,32,100,0.9120028951425454,10935.111483742223,4057.112962828434,0.003122654151858257,75885.70440314276,66737.34927882632,0.8836205357336621
target_sentence_shuffle,33,100,0.9128430219345764,11127.534738510565,4190.38767117111,0.003514479119708064,77090.96878237603,68097.01830068679,0.8889725979627394
target_sentence_shuffle,34,100,0.9130738802595038,11749.250615680965,4242.688148637588,0.004037634651485016,80722.07022942031,71542.80079242513,0.8917906011683528
target_sentence_shuffle,35,100,0.8843527342167231,13957.351811760589,5236.627795838125,0.00390801402700074,90795.97976923,79429.68482012174,0.8802456579384962
target_sentence_shuffle,36,100,0.8876397356449082,15407.016665256766,5754.931247183051,0.004675844171480242,92513.57516472008,80066.64798632708,0.8729747271015781
target_sentence_shuffle,37,100,0.9000324141812358,20310.897212844116,7562.793573470696,0.00488383040289309,102544.57405919145,84862.3362965973,0.8372722271885655
target_sentence_shuffle,38,100,0.8987410165769811,22389.386322824685,8240.118245244948,0.004980689216353557,109576.8297655907,89889.51651275069,0.8300229939507383
target_sentence_shuffle,39,100,0.9033998116966295,24252.675836343682,8771.65599836733,0.005074221399005972,117349.36792280785,96009.83408262029,0.8277924488055639
target_sentence_shuffle,40,100,0.9101387594841752,26404.416559457164,9117.410261387457,0.005210375610316498,128268.84466704966,104969.25476112039,0.8263350779465668
target_sentence_shuffle,41,100,0.8967375223357431,28041.06516946342,9175.65411099253,0.0046951125084935845,144771.32539939779,120097.40606262008,0.8353511736500407
target_sentence_shuffle,42,100,0.9045128408391949,34066.582560856834,10513.026745479423,0.004957084108846861,158807.23995037776,127963.3858407856,0.8110208094503745
target_sentence_shuffle,43,100,0.9151877407865492,34888.830551287,9709.564825112608,0.005510242431483086,164600.49658653245,133415.42799798108,0.8145261268751115
target_sentence_shuffle,44,100,0.9341548581984376,38140.01468311357,9390.085198480167,0.005932027231137683,176805.7620305462,142653.64337159268,0.8094028805769393
target_sentence_shuffle,45,100,0.94501579714496,38664.10270892126,8444.520191618569,0.006212539166095356,188890.87388798306,155069.58567902018,0.8224214574118919
target_sentence_shuffle,46,100,0.9436210965304875,34312.57316164751,6865.490087033224,0.006248595755208487,197720.1799987993,170120.0089454402,0.8605982028607968
