condition,condition_family,layer,rel_disp_l2_mean_base,pairwise_cosine_distance_mean_base,angular_disp_to_centroid_base,effective_rank_pr_base,spectral_entropy_norm_base,top1_pc_variance_share_base,centroid_norm_base,rel_disp_l2_mean_instruct,pairwise_cosine_distance_mean_instruct,angular_disp_to_centroid_instruct,effective_rank_pr_instruct,spectral_entropy_norm_instruct,top1_pc_variance_share_instruct,centroid_norm_instruct,rel_disp_l2_mean_instruct_minus_base,rel_disp_l2_mean_instruct_over_base,pairwise_cosine_distance_mean_instruct_minus_base,pairwise_cosine_distance_mean_instruct_over_base,angular_disp_to_centroid_instruct_minus_base,angular_disp_to_centroid_instruct_over_base,effective_rank_pr_instruct_minus_base,effective_rank_pr_instruct_over_base,spectral_entropy_norm_instruct_minus_base,spectral_entropy_norm_instruct_over_base,top1_pc_variance_share_instruct_minus_base,top1_pc_variance_share_instruct_over_base,centroid_norm_instruct_minus_base,centroid_norm_instruct_over_base
target,target,20,0.1013043935533933,0.0017960311165470082,0.0008102127131163206,1.1811852025625298,0.18619191626960782,0.9194396212384316,40211.48669960989,0.11081600666843879,0.001974882768537821,0.0008913275905128026,1.177351622128429,0.1832563529403012,0.9209461998477865,39671.85149196435,0.009511613115045489,1.0938914175419097,0.00017885165199081274,1.0995815992515128,8.111487739648204e-05,1.100115531369996,-0.0038335804341007584,0.9967544628676512,-0.002935563329306612,0.9842336692746633,0.0015065786093548805,1.0016385835171253,-539.6352076455441,0.9865800732095096
target,target,21,0.0942581154093522,0.0017804728005026342,0.0008029228228491059,1.2140910754666856,0.20923082316233113,0.9066343520863066,43334.95472799066,0.10310468584806608,0.0019539290229474353,0.0008812526609547344,1.2447251589336772,0.22974297675408603,0.8951369289414363,44267.625895259866,0.008846570438713883,1.0938547349392715,0.00017345622244480108,1.0974214384507375,7.832983810562855e-05,1.0975558730914208,0.03063408346699159,1.0252321132120923,0.0205121535917549,1.0980360029207674,-0.011497423144870345,0.9873185666091294,932.6711672692036,1.0215223754847211
target,target,22,0.1104241884898784,0.0018363895934728905,0.0008292214453120561,1.1539069993181799,0.1650396060734648,0.9304098244512603,48905.44343096075,0.13158984839641114,0.0020340416604882495,0.0009195233915537671,1.1473729053411412,0.16130080410975964,0.9331406711286473,51439.30537099274,0.02116565990653274,1.191675937987818,0.00019765206701535896,1.107630791750425,9.030194624171095e-05,1.1088996740778074,-0.006534093977038635,0.994337417155894,-0.0037388019637051573,0.977346031939641,0.002730846677386989,1.002935100860521,2533.8619400319876,1.051811450060953
target,target,23,0.12708465762442409,0.00204805718034165,0.0009256963274026919,1.1421841532722965,0.1547753143673082,0.9352085457647077,56930.42062211485,0.13608138421830818,0.002239128571243095,0.0010126614334392547,1.1531707097422057,0.16540174249613987,0.9307382773881973,58902.823189206414,0.008996726593884091,1.0707931764619574,0.00019107139090144502,1.0932939722787804,8.696510603656282e-05,1.0939456086928885,0.010986556469909203,1.009618901153044,0.010626428128831661,1.0686571251442893,-0.004470268376510433,0.9952200304437441,1972.4025670915653,1.0346458456750867
target,target,24,0.14521148361501482,0.0024221113062223164,0.0010980691404627319,1.1261910597864182,0.14378648633214602,0.9419910605224492,63611.453386293266,0.15331663806526533,0.002921950036034267,0.0013241375587899062,1.1497892921345234,0.16311901669527704,0.9321446519778958,62251.92100296156,0.008105154450250507,1.0558162085216558,0.0004998387298119507,1.2063648880716251,0.0002260684183271744,1.2058781262407847,0.023598232348105208,1.0209540220924498,0.019332530363131012,1.1344530411386402,-0.009846408544553431,0.9895472378049087,-1359.5323833317088,0.9786275535149986
target,target,25,0.14283543668156343,0.002765462930948106,0.0012545339718734727,1.1444310026531899,0.1582812670883449,0.9343338419102316,67798.57271388569,0.14058008650199053,0.003349858540099793,0.001516705143516317,1.215899322569578,0.2107415015897594,0.9059354315932767,65109.29036265547,-0.0022553501795729014,0.9842101495752403,0.0005843956091516867,1.2113192700579842,0.0002621711716428443,1.208978932664812,0.07146831991638813,1.0624487800047684,0.052460234501414515,1.3314367863305159,-0.028398410316954892,0.9696057136709676,-2689.2823512302202,0.9603342335453113
target,target,26,0.13791854847068624,0.0033900520926019202,0.0015368407122089423,1.19944896888432,0.19856231320788084,0.9122217605233023,68384.83493219076,0.13995191131819634,0.003958999902256423,0.0017933545809196705,1.2511079306676716,0.2333861709102242,0.8927700772854615,67411.101963904,0.0020333628475101007,1.0147432152458271,0.0005689478096545025,1.167828632996019,0.00025651386871072823,1.1669098596269774,0.05165896178335161,1.0430689117439982,0.034823857702343364,1.175379996025277,-0.019451683237840744,0.9786765849263881,-973.7329682867567,0.9857609809360176
target,target,27,0.16338856510718436,0.004844484328948289,0.0022038806570986447,1.1965278080903248,0.19654579807706518,0.913366744485433,70418.06743065259,0.1585726065158532,0.005605782897297147,0.0025456088421890177,1.2638620463215697,0.24054473112304184,0.8881100679079977,68289.06115652372,-0.00481595859133116,0.9705245064785141,0.0007612985683488581,1.1571474930040664,0.00034172818509037306,1.1550574813725134,0.06733423823124496,1.0562746956442701,0.04399893304597666,1.2238609701923056,-0.025256676577435244,0.9723477160396983,-2129.006274128871,0.9697661927995183
target,target,28,0.14840848405737503,0.006415878995779299,0.002908666570603957,1.3984231045315993,0.30885895616486614,0.8422254258652657,71402.69029089597,0.15073471373123026,0.007600786668808946,0.003442062686550118,1.5278379110751343,0.3643840769876948,0.803710698678154,67224.26573884168,0.0023262296738552346,1.0156745059934729,0.0011849076730296466,1.1846836065057424,0.0005333961159461609,1.1833816636645378,0.129414806543535,1.092543384132508,0.05552512082282868,1.1797750064013366,-0.038514727187111686,0.9542702867839716,-4178.42455205429,0.9414808526817224
target,target,29,0.14952622033685642,0.007792620205814087,0.0035312350364774536,1.5361119583173837,0.3674281729178486,0.8012183606665413,75458.89154393392,0.1540424085367354,0.009320010722060844,0.004219121278887683,1.7124939872089755,0.4258879841210254,0.7551080854228012,69561.39639361107,0.004516188199878979,1.0302033194490878,0.0015273905162467563,1.196004742270278,0.0006878862424102294,1.1948004689887826,0.17638202889159182,1.1148236806148435,0.05845981120317684,1.1591054130056828,-0.04611027524374012,0.9424498020660398,-5897.495150322851,0.9218449273550594
target,target,30,0.15962906180355763,0.00946781143974662,0.0042959645088991305,1.5609181533958205,0.3777617735974007,0.7945861376072696,74297.9927193926,0.1603096473082742,0.011296647630573557,0.005117887881239014,1.8259019036829718,0.45821210865708145,0.7287009846434278,68601.89504257067,0.0006805855047165854,1.0042635438436007,0.0018288361908269362,1.1931635628014488,0.0008219233723398833,1.19132452548105,0.26498375028715127,1.1697614636036502,0.08045033505968074,1.2129657913566652,-0.06588515296384179,0.9170824283907617,-5696.097676821926,0.923334433834103
target,target,31,0.16538303847038188,0.009968274273636335,0.004524962498776874,1.5539908180561128,0.3765071826945906,0.7967413252528678,75282.01426875015,0.16859281687092906,0.012869296509027626,0.005832853910897606,1.899337018874537,0.47542182789211607,0.712431930560962,67058.74839924331,0.0032097784005471752,1.0194081474691408,0.002901022235391291,1.2910255230208467,0.001307891412120732,1.289039171304784,0.34534620081842426,1.2222318155323437,0.09891464519752546,1.2627164892004168,-0.08430939469190579,0.8941822244929469,-8223.265869506838,0.8907671912158128
target,target,32,0.17057964353903815,0.012674483628406381,0.00575504110184788,1.699627941566431,0.4251651529469131,0.7589446805355401,76015.71580815702,0.17510356626820142,0.01646722454279796,0.007468075997998036,2.1368660740226337,0.527872119333254,0.6656943016820581,67812.57148774435,0.004523922729163271,1.02652088276349,0.0037927409143915774,1.2992422432573068,0.0017130348961501562,1.297658151268887,0.4372381324562027,1.2572552037782885,0.10270696638634086,1.2415695775470186,-0.09325037885348197,0.8771315205891448,-8203.14432041267,0.8920862056852141
