model_tag,condition,condition_family,layer,n_points,d_model,centroid_norm,abs_disp_l2_mean,rel_disp_l2_mean,pairwise_l2_mean,pairwise_cosine_distance_mean,cos_to_centroid_mean,cos_to_centroid_std,angular_disp_to_centroid,effective_rank_pr,spectral_entropy,spectral_entropy_norm,top1_pc_variance_share,cov_trace
base,target_word_shuffle,target_shuffle,0,10,3840,33.10863497389326,47.6450022176564,1.4390506360417419,65.50036864607243,0.7707816136393445,0.5534406448713828,0.3511671860666215,0.4465593551286172,3.6665594210805645,1.4604499442481127,0.634265351882867,0.44082950208445315,2758.619491536674
base,target_word_shuffle,target_shuffle,1,10,3840,782.4710769893782,515.476143849651,0.658779805424869,692.1245436897744,0.35227439327601195,0.8209124167575326,0.18169460456967934,0.17908758324246743,1.7608013903306978,0.9059557808585161,0.39345159647520517,0.7394560379451032,310091.1715851854
base,target_word_shuffle,target_shuffle,2,10,3840,756.5986250478807,483.54855910935646,0.6391084296231108,653.8620927448345,0.3465613706271031,0.825812733891157,0.16844683259022303,0.17418726610884305,1.9777338810451384,1.0147853703715979,0.44071568666853256,0.6897555955285365,275487.64876463986
base,target_word_shuffle,target_shuffle,3,10,3840,783.6319135407299,502.794040392402,0.6416201684801193,690.9821013203801,0.3517461906011689,0.8241459957081322,0.15228435331358303,0.17585400429186782,2.095732713402674,1.0920705835899893,0.47428022830199623,0.6679867216934038,298730.91249502305
base,target_word_shuffle,target_shuffle,4,10,3840,589.3572439703374,500.43519476055326,0.8491202914369191,691.7016424813012,0.49168284426058945,0.7456480431461715,0.1781810037719991,0.2543519568538285,2.35446905013142,1.1921244370218824,0.5177330647406242,0.6207517333680214,296036.65781408345
base,target_word_shuffle,target_shuffle,5,10,3840,971.8863996930351,460.32024228985154,0.4736358513044741,657.6159451535326,0.21557861362008393,0.8977020631073034,0.06776875804065906,0.10229793689269662,3.505437456031757,1.4668539499162259,0.6370465762066058,0.4524176512718747,257244.26216890276
base,target_word_shuffle,target_shuffle,6,10,3840,1105.0538822257427,533.1975843690636,0.48250822240009156,752.7336086389324,0.1835982110134993,0.9123396094074895,0.03722484748373723,0.08766039059251052,3.250269308839477,1.414885413011371,0.6144769273962418,0.4814176111254122,339070.90308682097
base,target_word_shuffle,target_shuffle,7,10,3840,1078.9017883825118,670.2168063756329,0.6212027949090905,949.5121857501887,0.25953168268717597,0.8716258107905526,0.059929972332241066,0.12837418920944743,2.9986761921198983,1.3560935730800274,0.58894395573312,0.5113229486487991,549882.9368093758
base,target_word_shuffle,target_shuffle,8,10,3840,1994.5651416897845,785.8648345762178,0.39400309277963075,1100.9275681575457,0.09167464974277552,0.9569197811028578,0.020449774301088675,0.0430802188971422,2.290861349999105,1.1709819268649737,0.5085509892458953,0.630329760715172,775346.6781458496
base,target_word_shuffle,target_shuffle,9,10,3840,3244.7122851031972,835.0972373506127,0.25737173714434664,1167.250874442959,0.03703934166757367,0.9829768782570042,0.006547355190170173,0.017023121742995806,2.195524524108724,1.163840587932269,0.5054495451540207,0.6515276835640933,830445.106148023
base,target_word_shuffle,target_shuffle,10,10,3840,3473.4573355579046,1179.6924767179316,0.33963062238921954,1609.5331551446352,0.03883872192590214,0.9816609889218606,0.0032301071570819766,0.0183390110781394,1.5179978038963733,0.7800448037158139,0.33876915389108314,0.8057139474873005,1701858.3778692004
base,target_word_shuffle,target_shuffle,11,10,3840,6448.707700431629,1307.3965405563117,0.2027377579028437,1877.6656774008834,0.013674760960609504,0.9937682473014109,0.00246320108825579,0.00623175269858911,1.4702520061609432,0.7508223024434612,0.3260779828410896,0.8195896306515053,2423135.5932597374
base,target_word_shuffle,target_shuffle,12,10,3840,7055.973243273349,1334.6330874120106,0.18914939745333537,1965.9217625637307,0.01364790304330413,0.9937990096624324,0.0026185779976368316,0.006200990337567602,1.5277291236626074,0.8049370807115477,0.3495797324323376,0.8028295846525217,2754024.8764013685
base,target_word_shuffle,target_shuffle,13,10,3840,7790.886975902579,1404.300466199774,0.18024911291144546,2118.7963250161874,0.013341819143079232,0.9939530963148933,0.003207761440500821,0.0060469036851067415,1.6376155261374628,0.8936800558099788,0.3881203168252639,0.7728680852556306,2944015.594459621
base,target_word_shuffle,target_shuffle,14,10,3840,13637.78828646647,1528.4302221724881,0.11207317418831275,2360.410818083831,0.005297165734407942,0.9976093269457744,0.001054823294013903,0.0023906730542255783,1.651977521809418,0.917529658611541,0.39847806771756666,0.7695012954709363,3627554.330577264
base,target_word_shuffle,target_shuffle,15,10,3840,18421.520110834168,1890.0055525435487,0.10259769775633162,2917.498626499181,0.003317142339895766,0.9985040009443462,0.0007301337751961009,0.001495999055653785,1.4786101637751006,0.7765684888455389,0.3372594095255645,0.817395953916814,5346644.284820228
base,target_word_shuffle,target_shuffle,16,10,3840,23065.958315557677,2203.8572260671904,0.09554587743188274,3280.8428270967684,0.002595809970592189,0.9988290128481332,0.0006088619100754542,0.0011709871518668091,1.4001389994249263,0.711912077324451,0.3091794867822902,0.841904167629475,6741510.730969448
base,target_word_shuffle,target_shuffle,17,10,3840,26216.323367191824,2440.7282906061896,0.09309956458885522,3778.1794154292133,0.002291289068471881,0.9989670721621067,0.00038053820705804165,0.001032927837893327,1.382706100880791,0.6974988821531684,0.3029199156528075,0.8475380106566951,9173218.707918469
base,target_word_shuffle,target_shuffle,18,10,3840,30941.486210435258,3038.943371654307,0.09821581778542363,4609.672117412739,0.0022377308778483616,0.9989904847567332,0.00044060122447987815,0.0010095152432667565,1.3000885854507176,0.6072920552620275,0.26374358850398316,0.8753738522258754,13936605.924675152
base,target_word_shuffle,target_shuffle,19,10,3840,36153.87552001029,2886.172496515341,0.07983023825254681,4203.165497149898,0.0019248864939412445,0.9991324416650169,0.0003245240955724594,0.0008675583349830873,1.4863818945100955,0.8237355091832099,0.3577437861860335,0.8165990647489173,10895949.837894836
base,target_word_shuffle,target_shuffle,20,10,3840,38280.58911485809,3355.614283649743,0.0876583762486379,5152.491686705445,0.0019131214998847376,0.9991374460379161,0.0003341507868336837,0.0008625539620839007,1.3192485100569804,0.6321456012752826,0.27453734639326843,0.8687602117376667,18219516.746447966
base,target_word_shuffle,target_shuffle,21,10,3840,41787.142843855734,3117.2432843290508,0.07459814364377873,4760.209327729591,0.0018368548257920163,0.9991723578779041,0.0003330070935384828,0.0008276421220958508,1.5016425939261477,0.8306972971021179,0.3607672522633959,0.8118812929729096,14143387.356924184
base,target_word_shuffle,target_shuffle,22,10,3840,46705.318683740945,5195.421447339684,0.11123832560740698,7373.454285312076,0.0019007849915299913,0.9991421458076457,0.0003915972942652808,0.0008578541923542904,1.2033889467021053,0.46807810238926234,0.20328373696740193,0.910788372549992,35982392.67250546
