condition,layer,n_points,linear_cka_base_instruct,same_prompt_delta_l2_mean,same_prompt_delta_l2_std,same_prompt_cosdist_mean,base_norm_mean,instruct_norm_mean,instruct_over_base_norm_mean
target_sentence_shuffle,7,10,0.9857691287932078,219.85873079707488,86.97254884047703,0.007319979538531929,1350.3603234671177,1199.390048438072,0.8939757046286623
target_sentence_shuffle,8,10,0.9770876082816421,311.6318517986269,187.8909415284117,0.0032689815312762715,2225.0848579210024,1970.0619889257473,0.8960904267288626
target_sentence_shuffle,9,10,0.9911509585022209,579.7794181516599,217.48773926863018,0.001818968687944067,3354.510202731537,2805.749785990272,0.8413028500903217
target_sentence_shuffle,10,10,0.9640969906164906,569.7825336318879,381.35514339342933,0.001994638323911002,3657.3479357314086,3133.377842562315,0.8673820627782834
target_sentence_shuffle,11,10,0.9731744903415546,895.6731813552349,396.85471999369446,0.0007595404672419926,6965.661342864386,6111.813044569132,0.8804036457784932
target_sentence_shuffle,12,10,0.9507343519392328,1176.4785860417928,591.9303500431625,0.0009813780853233256,7512.294512429258,6377.865444106415,0.8554400800007109
target_sentence_shuffle,13,10,0.9638881695817628,1508.0471697059727,460.4470294928918,0.0010992909420834973,8562.548833752118,7098.907949634132,0.8298160315872115
target_sentence_shuffle,14,10,0.9645122472302396,2074.7570329437476,649.0939347839386,0.0004542412889570246,14885.943956664278,12854.072048270727,0.8657356838561651
target_sentence_shuffle,15,10,0.9001149915299407,2234.450838902573,1025.5075881709008,0.0003427208275676996,19557.51659978144,17384.461924126685,0.8918735578745126
target_sentence_shuffle,16,10,0.6734235102311427,2333.141420804618,1093.0888782560216,0.00030292134054019646,24181.644193851746,22015.22744815342,0.911992324251289
target_sentence_shuffle,17,10,0.7410679787905626,2579.035717440296,1524.2488143976095,0.00032599064427850654,27305.902226299466,25141.212684381626,0.9269475478641496
target_sentence_shuffle,18,10,0.45389870212566635,3362.8893251474415,2081.7830684523638,0.0003674606217615839,32851.34611883441,29971.16930366746,0.9163812382256523
target_sentence_shuffle,19,10,0.5412699357632672,2793.451554822194,1580.3306850081913,0.0003547719095501556,36862.73850157917,36272.10496881821,0.9885902119119635
target_sentence_shuffle,20,10,0.638489256539212,2976.1057830129826,1886.007520787245,0.00039752352404830437,39706.55411198722,39642.01894533239,1.0037122934998495
target_sentence_shuffle,21,10,0.5538114090039327,3633.6936118389385,1774.8085710463738,0.0004110394281790941,43075.571627887744,44331.94416341775,1.0348518177169395
